,Name,link,Year,Age,Team,League,Position,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
235,Tony Battie,battito01,1997-98,21,DEN,NBA,PF,65,49,1506,8.3,18.7,.446,0.1,0.5,.214,8.2,18.2,.452,2.6,3.7,.702,4.9,7.6,12.5,2.1,1.9,2.5,3.5,7.1,19.3,,95,109
236,Shane Battier,battish01,2001-02,23,MEM,NBA,SF,78,78,3097,7.0,16.3,.429,1.8,4.7,.373,5.3,11.7,.451,3.4,4.8,.700,3.1,4.0,7.1,3.7,2.1,1.4,2.6,3.7,19.1,,104,107
237,John Battle,battljo01,1985-86,23,ATL,NBA,SG,64,0,639,7.6,16.7,.455,0.0,0.5,.000,7.6,16.2,.470,5.6,7.7,.728,0.9,3.8,4.7,5.6,1.7,0.2,3.5,6.0,20.8,,104,108
238,Kenny Battle,battlke01,1989-90,25,PHO,NBA,SG,59,8,729,6.1,11.1,.547,0.1,0.3,.250,6.0,10.9,.554,3.6,5.4,.671,2.9,5.2,8.1,2.5,2.3,0.7,2.1,6.1,15.8,,116,106
239,Dave Batton,battoda01,1982-83,26,WSB,NBA,C,54,5,558,7.4,16.5,.445,0.0,0.3,.000,7.4,16.3,.452,0.7,1.5,.471,3.9,6.4,10.3,2.5,1.3,1.1,2.4,4.8,15.4,,93,100
240,Lloyd Batts,battsll01,1974-75,23,VIR,ABA,SG,58,,1317,9.0,24.5,.366,1.5,5.3,.286,7.5,19.2,.388,2.1,3.4,.617,2.6,4.5,7.1,3.8,2.6,0.2,3.2,3.8,21.6,,89,107
241,Nicolas Batum,batumni01,2008-09,20,POR,NBA,SF,79,76,1454,6.1,13.8,.446,2.4,6.4,.369,3.8,7.4,.513,1.6,2.0,.808,3.2,5.2,8.4,2.8,1.9,1.5,1.9,5.3,16.2,,117,107
242,Johnny Baum,baumjo01,1973-74,27,TOT,ABA,SF,60,,1219,7.1,15.8,.450,0.0,0.0,,7.1,15.8,.450,2.0,2.4,.820,3.2,4.7,7.9,2.4,1.4,0.6,1.9,4.0,16.2,,104,109
244,Lonny Baxter,baxtelo01,2002-03,24,CHI,NBA,C,55,0,682,7.2,15.5,.466,0.0,0.2,.000,7.2,15.3,.471,5.3,7.7,.680,4.9,7.5,12.4,1.2,0.7,1.7,3.5,10.2,19.7,,100,106
245,Jerryd Bayless,bayleje01,2008-09,20,POR,NBA,PG,53,0,655,5.8,16.0,.365,0.6,2.3,.259,5.2,13.7,.383,7.0,8.7,.806,0.7,4.1,4.8,6.6,1.4,0.2,4.7,6.9,19.3,,97,111
248,Aron Baynes,baynear01,2012-13,26,SAS,NBA,C,16,0,141,6.5,13.0,.500,0.0,0.4,.000,6.5,12.7,.514,2.5,4.3,.583,4.3,7.2,11.6,1.8,0.4,2.2,4.0,8.3,15.5,,94,103
249,Sergei Bazarevich,bazarse01,1994-95,29,ATL,NBA,PG,10,0,74,7.9,15.9,.500,0.7,4.3,.167,7.2,11.6,.625,5.1,6.5,.778,0.7,4.3,5.1,10.1,0.7,0.7,5.1,7.2,21.7,,109,109
250,Kent Bazemore,bazemke01,2012-13,23,GSW,NBA,SG,61,0,267,8.2,22.1,.371,1.9,6.5,.294,6.3,15.6,.402,5.1,8.4,.614,1.0,3.2,4.2,4.2,3.2,0.8,3.4,5.1,23.4,,91,104
252,Bradley Beal,bealbr01,2012-13,19,WAS,NBA,SG,56,46,1745,8.4,20.5,.410,2.7,7.0,.386,5.7,13.5,.424,3.7,4.7,.786,1.3,5.0,6.3,4.1,1.5,0.9,2.7,3.4,23.3,,102,105
257,Jerome Beasley,beaslje01,2003-04,23,MIA,NBA,PF,2,0,5,10.9,32.7,.333,0.0,0.0,,10.9,32.7,.333,0.0,0.0,,0.0,10.9,10.9,0.0,0.0,0.0,0.0,0.0,21.8,,72,104
258,John Beasley,beasljo01,1973-74,29,UTS,ABA,PF,43,,481,7.6,18.3,.414,2.2,6.5,.344,5.4,11.8,.453,1.0,1.1,.909,4.5,7.6,12.1,1.9,0.7,1.0,2.1,5.8,18.4,,105,106
259,Malik Beasley,beaslma01,2016-17,20,DEN,NBA,SG,22,1,165,9.8,21.6,.452,2.7,8.3,.321,7.1,13.3,.533,2.4,3.0,.800,1.5,3.6,5.0,3.3,2.1,0.0,2.4,3.0,24.6,,107,114
260,Michael Beasley,beaslmi01,2008-09,20,MIA,NBA,PF,81,19,2009,12.0,25.4,.472,0.9,2.2,.407,11.1,23.3,.478,4.9,6.4,.772,2.9,8.7,11.7,2.2,1.1,1.0,3.2,4.9,29.8,,103,108
261,Zelmo Beaty,beatyze01,1973-74,34,UTS,ABA,PF,77,,2476,8.2,15.6,.524,0.0,0.0,.000,8.2,15.6,.525,3.8,4.8,.795,3.3,8.7,12.1,2.5,1.2,1.3,2.2,4.5,20.2,,115,104
262,Rodrigue Beaubois,beaubro01,2009-10,21,DAL,NBA,PG,56,16,700,11.5,22.2,.518,3.3,8.2,.409,8.2,14.0,.582,3.1,3.9,.808,0.9,4.9,5.8,5.5,2.1,0.9,4.0,6.2,29.4,,111,107
263,Byron Beck,beckby01,1973-74,29,DNR,ABA,C,82,,1979,10.0,19.3,.516,0.0,0.0,.000,10.0,19.3,.517,2.8,3.3,.851,3.9,5.9,9.8,1.8,1.1,0.2,2.0,5.5,22.8,,114,105
264,Corey Beck,beckco01,1995-96,24,CHH,NBA,PG,5,0,33,3.2,12.7,.250,0.0,0.0,,3.2,12.7,.250,1.6,3.2,.500,4.8,6.4,11.1,7.9,1.6,0.0,6.4,12.7,7.9,,70,112
269,William Bedford,bedfowi01,1986-87,23,PHO,NBA,C,50,18,979,6.8,17.2,.397,0.0,0.0,.000,6.8,17.2,.398,2.4,4.1,.581,3.8,8.0,11.8,2.7,0.9,1.8,4.1,6.0,16.1,,85,109
271,Ron Behagen,behagro01,1973-74,23,KCO,NBA,PF,80,,2059,7.8,18.2,.432,,,,7.8,18.2,.432,3.6,4.7,.764,4.1,8.3,12.5,2.9,1.2,0.8,,6.4,19.2,,,99
273,Marco Belinelli,belinma01,2007-08,21,GSW,NBA,SG,33,0,241,7.3,18.7,.387,3.2,8.3,.390,4.0,10.5,.385,1.4,1.8,.778,0.6,2.2,2.8,3.0,1.0,0.0,2.4,3.0,19.1,,97,115
274,Charlie Bell,bellch01,2001-02,22,TOT,NBA,SG,7,0,44,3.6,13.1,.273,0.0,7.2,.000,3.6,6.0,.600,2.4,2.4,1.000,2.4,3.6,6.0,2.4,0.0,0.0,6.0,3.6,9.5,,61,111
276,Jordan Bell,belljo01,2017-18,23,GSW,NBA,C,52,13,755,7.0,11.0,.636,0.0,0.2,.000,7.0,10.8,.647,1.9,2.7,.690,3.6,8.8,12.4,6.2,2.2,3.4,2.9,5.7,15.9,,124,103
277,Raja Bell,bellra01,2000-01,24,PHI,NBA,SG,5,0,30,3.5,12.4,.286,1.8,5.3,.333,1.8,7.1,.250,0.0,0.0,,0.0,1.8,1.8,0.0,1.8,0.0,3.5,1.8,8.8,,59,104
278,Troy Bell,belltr01,2003-04,23,MEM,NBA,PG,6,0,34,6.2,27.8,.222,0.0,6.2,.000,6.2,21.6,.286,4.6,4.6,1.000,4.6,1.5,6.2,6.2,1.5,0.0,9.3,9.3,17.0,,61,108
281,DeAndre' Bembry,bembrde01,2016-17,22,ATL,NBA,SF,38,1,371,6.2,13.0,.480,0.1,2.4,.056,6.1,10.6,.575,0.8,2.1,.375,1.9,6.0,7.8,3.7,1.1,0.7,2.1,2.8,13.4,,97,108
284,Dragan Bender,bendedr01,2016-17,19,PHO,NBA,PF,43,0,574,4.8,13.4,.354,2.3,8.4,.277,2.4,5.0,.483,0.3,0.9,.364,1.9,6.7,8.6,1.9,0.8,1.8,2.7,6.2,12.2,,86,113
285,Jonathan Bender,bendejo01,1999-00,19,IND,NBA,SF,24,1,130,9.1,27.8,.329,0.8,4.8,.167,8.3,23.0,.362,6.3,9.5,.667,1.6,6.7,8.3,1.2,0.4,2.0,2.8,7.1,25.4,,82,105
286,Jerrelle Benimon,benimje01,2014-15,23,UTA,NBA,PF,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,17.7,35.4,53.1,0.0,0.0,0.0,17.7,0.0,0.0,,46,93
287,Benoit Benjamin,benjabe01,1985-86,21,LAC,NBA,C,79,37,2088,7.3,14.8,.490,0.0,0.1,.333,7.2,14.7,.491,5.1,6.9,.746,3.6,9.8,13.4,1.8,1.4,4.6,3.2,6.4,19.7,,106,107
288,Corey Benjamin,benjaco01,1998-99,20,CHI,NBA,PG,31,1,320,7.5,19.9,.376,0.5,2.4,.214,7.0,17.5,.398,4.6,6.8,.675,2.6,4.3,6.8,1.7,1.9,1.4,3.6,7.8,20.1,,85,104
289,Anthony Bennett,bennean01,2013-14,20,CLE,NBA,PF,52,0,663,6.2,17.5,.356,1.0,4.1,.245,5.2,13.4,.390,3.4,5.4,.638,3.8,8.2,12.1,1.3,1.6,0.6,3.7,7.2,16.9,,85,107
290,Elmer Bennett,benneel01,1994-95,24,CLE,NBA,PG,4,0,18,18.9,34.6,.545,0.0,6.3,.000,18.9,28.3,.667,9.4,12.6,.750,0.0,3.1,3.1,9.4,12.6,0.0,9.4,9.4,47.2,,102,85
291,Mario Bennett,bennema01,1995-96,22,PHO,NBA,SF,19,14,230,6.5,14.3,.453,0.0,0.2,.000,6.5,14.1,.460,6.0,9.4,.643,4.7,6.3,11.0,1.3,2.5,2.5,2.5,10.3,19.0,,107,106
292,Mel Bennett,benneme01,1975-76,21,VIR,ABA,PF,75,,2193,6.7,16.8,.402,0.0,0.0,.000,6.7,16.7,.403,5.0,8.3,.610,5.1,5.7,10.8,2.0,1.6,1.0,3.6,5.4,18.5,,94,108
294,Tony Bennett,benneto01,1992-93,23,CHH,NBA,PG,75,2,857,6.1,14.5,.423,1.5,4.5,.325,4.7,10.1,.467,1.7,2.3,.732,0.7,2.9,3.5,7.6,1.7,0.0,2.8,6.1,15.4,,103,113
295,Winston Bennett,bennewi01,1989-90,24,CLE,NBA,SF,55,34,990,7.0,14.6,.479,0.0,0.0,,7.0,14.6,.479,3.3,4.9,.667,4.3,5.3,9.6,2.8,1.2,0.5,3.2,6.8,17.3,,102,109
296,David Benoit,benoida01,1991-92,23,UTA,NBA,SF,77,2,1161,7.6,16.2,.467,0.1,0.6,.214,7.4,15.6,.476,3.5,4.3,.810,4.5,8.3,12.8,1.5,0.8,1.9,3.1,5.4,18.8,,104,106
297,Keith Benson,bensoke02,2011-12,23,GSW,NBA,C,3,0,9,0.0,5.8,.000,0.0,0.0,,0.0,5.8,.000,0.0,0.0,,11.6,5.8,17.3,0.0,0.0,0.0,0.0,0.0,0.0,,98,115
298,Kent Benson,bensoke01,1977-78,23,MIL,NBA,C,69,,1288,7.5,16.2,.465,,,,7.5,16.2,.465,3.2,4.8,.652,3.1,7.1,10.1,3.4,2.4,1.9,4.1,6.1,18.2,,94,100
299,Ben Bentil,bentibe01,2016-17,21,DAL,NBA,PF,3,0,10,0.0,15.6,.000,0.0,5.2,.000,0.0,10.4,.000,0.0,0.0,,0.0,10.4,10.4,0.0,0.0,0.0,5.2,5.2,0.0,,0,111
303,Ricky Berry,berryri01,1988-89,24,SAC,NBA,SG,64,21,1406,8.7,19.3,.450,2.2,5.4,.406,6.5,13.8,.467,4.5,5.6,.789,1.9,4.8,6.7,2.7,1.3,0.7,2.8,6.7,24.0,,109,111
304,Walter Berry,berrywa01,1986-87,22,TOT,NBA,SF-PF,63,45,1586,12.1,22.8,.531,0.0,0.1,.000,12.1,22.7,.533,5.6,8.6,.649,4.0,5.1,9.2,3.1,1.1,1.2,4.6,5.8,29.8,,106,112
305,Davis Bertans,bertada01,2016-17,24,SAS,NBA,PF,67,6,808,6.5,14.8,.440,4.4,10.9,.399,2.1,3.8,.557,1.8,2.1,.824,1.4,4.8,6.2,2.9,1.3,1.8,2.0,4.7,19.1,,115,105
306,Del Beshore,beshode01,1978-79,22,MIL,NBA,PG,1,,1,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,113
307,Travis Best,besttr01,1995-96,23,IND,NBA,PG,59,1,571,6.5,15.3,.423,0.8,2.4,.320,5.7,13.0,.442,7.1,8.5,.833,1.0,3.1,4.1,9.1,1.9,0.3,5.9,7.5,20.8,,102,109
308,Patrick Beverley,beverpa01,2012-13,24,HOU,NBA,PG,41,0,713,5.5,13.2,.418,2.5,6.7,.375,3.0,6.5,.462,2.4,2.9,.829,3.2,4.5,7.6,8.2,2.6,1.5,3.1,5.8,16.0,,116,105
309,Sim Bhullar,bhullsi01,2014-15,22,SAC,NBA,C,3,0,3,16.8,33.6,.500,0.0,0.0,,16.8,33.6,.500,0.0,0.0,,0.0,16.8,16.8,16.8,0.0,16.8,0.0,0.0,33.6,,124,88
313,Henry Bibby,bibbyhe01,1973-74,24,NYK,NBA,PG,66,,986,9.9,21.9,.452,,,,9.9,21.9,.452,3.4,4.1,.830,2.3,4.0,6.3,4.3,3.1,0.1,,5.8,23.2,,,93
314,Mike Bibby,bibbymi01,1998-99,20,VAN,NBA,PG,50,50,1758,8.0,18.6,.430,0.5,2.3,.203,7.5,16.3,.461,3.9,5.2,.751,0.9,3.3,4.2,10.0,2.4,0.2,4.5,3.7,20.3,,99,110
316,Andris Biedrins,biedran01,2004-05,18,GSW,NBA,C,30,1,384,6.0,10.5,.577,0.0,0.1,.000,6.0,10.3,.584,2.5,5.4,.475,6.3,9.5,15.8,1.6,1.6,3.2,1.6,11.7,14.6,,119,102
319,Lionel Billingy,billili01,1974-75,22,VIR,ABA,PF,46,,1022,7.0,16.3,.427,0.0,0.1,.000,7.0,16.2,.430,4.3,6.7,.650,5.0,8.0,13.0,2.3,1.9,0.5,5.7,5.2,18.3,,87,106
320,Chauncey Billups,billuch01,1997-98,21,TOT,NBA,PG,80,70,2216,6.5,17.4,.374,2.5,7.6,.329,4.0,9.9,.408,5.3,6.2,.850,1.4,3.0,4.4,7.3,2.5,0.1,4.1,4.0,20.8,,104,110
322,Joe Binion,biniojo01,1986-87,25,POR,NBA,PF,11,0,51,3.6,9.0,.400,0.0,0.0,,3.6,9.0,.400,5.4,9.0,.600,7.2,9.0,16.1,0.9,1.8,1.8,2.7,4.5,12.5,,106,105
323,Khem Birch,birchkh01,2017-18,25,ORL,NBA,C,36,0,434,5.1,10.1,.500,0.0,0.0,,5.1,10.1,.500,2.3,3.6,.625,6.1,8.3,14.4,2.6,1.2,1.5,2.1,5.3,12.4,,113,110
324,Jabari Bird,birdja01,2017-18,23,BOS,NBA,SG,8,0,35,1.4,5.7,.250,0.0,2.9,.000,1.4,2.9,.500,4.3,8.6,.500,2.9,2.9,5.7,1.4,1.4,0.0,1.4,2.9,7.1,,89,108
326,Larry Bird,birdla01,1979-80,23,BOS,NBA,PF,82,82,2955,11.0,23.2,.474,0.9,2.3,.406,10.1,20.9,.481,4.8,5.7,.836,3.4,10.1,13.5,5.9,2.3,0.8,4.2,4.4,27.6,,109,98
327,Otis Birdsong,birdsot01,1977-78,22,KCK,NBA,SG,73,,1878,11.1,22.6,.492,,,,11.1,22.6,.492,5.1,7.3,.697,1.7,2.5,4.1,4.1,1.7,0.3,3.4,4.2,27.3,,104,105
329,Bismack Biyombo,biyombi01,2011-12,19,CHA,NBA,C,63,41,1455,4.7,10.1,.464,0.0,0.0,,4.7,10.1,.464,2.5,5.2,.483,4.1,9.2,13.3,1.0,0.7,4.2,2.6,5.3,11.8,,92,107
330,Nemanja Bjelica,bjeline01,2015-16,27,MIN,NBA,PF,60,0,1075,5.2,11.0,.468,2.3,5.9,.384,2.9,5.2,.564,1.9,2.6,.727,2.3,7.5,9.8,3.9,1.2,1.0,2.2,7.2,14.4,,114,110
331,Uwe Blab,blabuw01,1985-86,23,DAL,NBA,C,48,0,409,5.1,10.8,.468,0.0,0.0,,5.1,10.8,.468,4.1,7.7,.537,2.9,7.6,10.5,2.0,0.3,1.4,3.2,7.5,14.2,,95,111
333,Norman Black,blackno01,1980-81,23,DET,NBA,SG,3,,28,5.1,16.9,.300,0.0,0.0,,5.1,16.9,.300,3.4,13.5,.250,0.0,3.4,3.4,3.4,1.7,0.0,1.7,3.4,13.5,,68,107
334,Tarik Black,blackta01,2014-15,23,TOT,NBA,C,63,39,1196,6.6,11.6,.575,0.0,0.0,.000,6.6,11.5,.577,2.8,5.0,.551,6.0,9.6,15.6,1.8,0.8,1.0,2.0,6.7,16.0,,118,108
336,Rolando Blackman,blackro01,1981-82,22,DAL,NBA,SG,82,16,1979,10.8,21.0,.513,0.0,0.1,.250,10.8,21.0,.515,5.2,6.8,.768,2.4,3.9,6.3,2.6,1.1,0.7,2.8,3.0,26.9,,111,112
337,Alex Blackwell,blackal01,1992-93,22,LAL,NBA,SF,27,0,109,6.4,19.2,.333,0.0,1.4,.000,6.4,17.9,.359,2.7,3.7,.750,4.6,6.0,10.5,3.2,1.8,0.9,2.3,6.4,15.6,,89,109
338,Cory Blackwell,blackco01,1984-85,21,SEA,NBA,SF,60,0,551,7.6,20.8,.367,0.0,0.2,.000,7.6,20.6,.370,2.5,4.8,.509,3.7,4.7,8.4,2.3,2.2,0.3,3.9,4.8,17.7,,79,108
339,James Blackwell,blackja01,1994-95,26,TOT,NBA,PG,13,0,80,5.1,8.4,.615,0.0,0.0,,5.1,8.4,.615,1.3,1.9,.667,1.3,5.8,7.1,7.1,2.6,0.0,3.2,5.1,11.6,,112,109
340,Nate Blackwell,blackna01,1987-88,22,SAS,NBA,PG,10,0,112,6.2,16.8,.366,0.8,4.5,.182,5.3,12.3,.433,2.1,2.5,.833,0.8,1.6,2.5,7.4,1.2,0.0,3.3,6.6,15.2,,92,117
341,DeJuan Blair,blairde01,2009-10,20,SAS,NBA,PF,82,23,1494,9.6,17.3,.556,0.0,0.1,.000,9.6,17.3,.558,3.1,5.6,.547,7.0,11.4,18.4,2.3,1.8,1.4,3.9,7.9,22.4,,108,101
342,Steve Blake,blakest01,2003-04,23,WAS,NBA,PG,75,14,1392,5.9,15.2,.386,2.8,7.6,.371,3.1,7.7,.400,2.1,2.5,.821,0.7,3.7,4.4,7.8,2.1,0.3,4.8,3.7,16.6,,95,107
343,Antonio Blakeney,blakean01,2017-18,21,CHI,NBA,SG,19,0,314,8.3,22.3,.371,2.3,8.1,.288,5.9,14.2,.418,4.7,6.1,.769,0.6,4.5,5.1,3.1,1.1,0.2,1.7,3.0,23.5,,96,114
344,Will Blalock,blalowi01,2006-07,23,DET,NBA,PG,14,0,166,3.0,9.9,.300,0.3,1.7,.200,2.7,8.3,.320,2.0,2.0,1.000,2.0,3.0,5.0,5.6,1.7,0.0,4.0,3.0,8.3,,80,108
346,Lance Blanks,blankla01,1990-91,24,DET,NBA,SG,38,0,214,6.3,14.9,.426,0.5,3.9,.125,5.9,11.0,.533,2.4,3.4,.714,1.0,3.9,4.9,6.3,2.2,0.5,4.4,8.5,15.6,,92,105
347,Ricky Blanton,blantri01,1992-93,26,CHI,NBA,SF,2,0,13,12.0,27.9,.429,0.0,0.0,,12.0,27.9,.429,0.0,0.0,,8.0,4.0,12.0,4.0,8.0,0.0,4.0,4.0,24.0,,96,96
348,Andray Blatche,blatcan01,2005-06,19,WAS,NBA,PF,29,0,175,7.7,19.9,.388,0.9,3.9,.231,6.8,16.1,.426,3.0,3.6,.833,3.6,7.7,11.3,3.0,1.5,2.1,3.6,10.7,19.3,,93,105
349,Mookie Blaylock,blaylmo01,1989-90,22,NJN,NBA,PG,50,17,1267,8.1,21.8,.371,0.7,3.1,.225,7.4,18.7,.395,2.4,3.1,.778,1.6,3.7,5.3,8.0,3.1,0.5,4.2,4.2,19.3,,90,108
350,Eric Bledsoe,bledser01,2010-11,21,LAC,NBA,PG,81,25,1841,5.8,13.6,.424,0.9,3.3,.276,4.9,10.4,.470,2.8,3.7,.744,1.9,4.4,6.3,8.1,2.6,0.7,5.4,3.7,15.2,,93,108
354,Corie Blount,blounco01,1993-94,25,CHI,NBA,PF,67,8,690,5.8,13.2,.437,0.0,0.0,,5.8,13.2,.437,3.5,5.7,.613,5.8,8.9,14.7,4.2,1.4,2.5,3.9,7.0,15.0,,98,100
355,Mark Blount,blounma01,2000-01,25,BOS,NBA,C,64,50,1098,4.8,9.4,.505,0.0,0.0,,4.8,9.4,.505,2.2,3.1,.697,4.6,6.3,10.9,1.5,1.8,3.6,2.9,8.6,11.7,,101,101
356,Vander Blue,blueva01,2013-14,21,BOS,NBA,SG,3,0,15,6.9,13.7,.500,0.0,3.4,.000,6.9,10.3,.667,3.4,17.1,.200,0.0,10.3,10.3,3.4,0.0,0.0,6.9,3.4,17.1,,64,110
357,Ray Blume,blumera01,1981-82,23,CHI,NBA,SG,49,2,546,9.1,19.7,.459,0.4,1.6,.222,8.7,18.1,.480,1.6,2.5,.643,1.2,2.4,3.6,6.0,2.0,0.2,4.8,5.1,20.1,,92,111
359,Tony Bobbitt,bobbito01,2004-05,25,LAL,NBA,SG,2,0,12,8.8,22.0,.400,4.4,8.8,.500,4.4,13.2,.333,0.0,0.0,,0.0,13.2,13.2,0.0,0.0,0.0,0.0,4.4,22.0,,106,111
362,Keith Bogans,boganke01,2003-04,23,ORL,NBA,SF,73,36,1787,5.4,13.4,.403,2.0,5.5,.358,3.4,7.9,.434,1.9,3.0,.631,3.1,6.2,9.4,2.9,1.4,0.3,2.2,3.8,14.7,,103,111
363,Bogdan Bogdanovic,bogdabo01,2017-18,25,SAC,NBA,SG,74,49,2052,8.0,17.7,.453,3.0,7.6,.401,5.0,10.2,.492,2.4,2.9,.845,0.7,4.5,5.2,6.0,1.7,0.4,2.9,4.0,21.5,,109,114
364,Bojan Bogdanovic,bogdabo02,2014-15,25,BRK,NBA,SF,78,28,1854,7.3,16.1,.453,2.5,7.1,.355,4.7,8.9,.531,2.4,3.0,.821,1.4,4.6,5.9,1.9,0.9,0.3,2.2,2.9,19.5,,106,111
365,Muggsy Bogues,boguemu01,1987-88,23,WSB,NBA,PG,79,14,1628,5.0,12.8,.390,0.1,0.5,.188,4.9,12.3,.398,1.7,2.2,.784,1.1,3.0,4.1,12.1,3.8,0.1,3.0,4.1,11.8,,101,106
366,Andrew Bogut,bogutan01,2005-06,21,MIL,NBA,PF,82,77,2348,7.2,13.6,.533,0.0,0.1,.000,7.2,13.5,.536,2.7,4.3,.629,4.2,8.6,12.8,4.3,1.1,1.5,2.8,5.8,17.2,,111,106
367,Etdrick Bohannon,bohanet01,1997-98,24,IND,NBA,PF,5,0,11,0.0,19.9,.000,0.0,0.0,,0.0,19.9,.000,0.0,0.0,,9.9,19.9,29.8,5.0,0.0,9.9,14.9,14.9,0.0,,27,87
368,Manute Bol,bolma01,1985-86,23,WSB,NBA,C,80,60,2090,3.0,6.4,.460,0.0,0.0,.000,3.0,6.4,.462,1.0,2.0,.488,2.9,8.2,11.1,0.5,0.6,9.2,1.5,5.9,6.9,,95,99
370,Joel Bolomboy,bolomjo01,2016-17,23,UTA,NBA,PF,12,0,53,8.9,15.8,.563,1.0,4.0,.250,7.9,11.9,.667,3.0,5.9,.500,4.0,12.9,16.8,2.0,1.0,2.0,2.0,1.0,21.8,,117,102
374,Walter Bond,bondwa01,1992-93,23,DAL,NBA,SG,74,38,1578,6.9,17.3,.402,0.2,1.3,.167,6.7,16.0,.421,3.9,5.1,.772,1.6,4.4,6.0,3.7,2.3,0.6,3.4,6.8,18.0,,92,114
375,Dexter Boney,boneyde01,1996-97,26,PHO,NBA,SG,8,0,48,6.4,20.4,.316,1.1,6.4,.167,5.4,13.9,.385,6.4,8.6,.750,3.2,3.2,6.4,0.0,2.1,1.1,1.1,3.2,20.4,,95,110
377,Anthony Bonner,bonnean01,1990-91,22,SAC,NBA,PF,34,6,750,7.0,15.5,.448,0.0,0.0,,7.0,15.5,.448,3.0,5.1,.579,4.0,6.9,10.9,3.3,2.6,0.3,2.8,4.2,16.9,,97,107
378,Matt Bonner,bonnema01,2004-05,24,TOR,NBA,C,82,0,1553,8.2,15.4,.533,1.3,3.1,.424,6.9,12.4,.561,1.9,2.4,.789,3.6,5.9,9.5,1.6,1.3,0.6,1.3,7.3,19.6,,120,110
380,Devin Booker,bookede01,2015-16,19,PHO,NBA,SG,76,51,2108,8.5,20.0,.423,2.3,6.7,.343,6.2,13.4,.464,5.0,5.9,.840,0.6,3.7,4.3,4.6,1.0,0.5,3.7,5.2,24.2,,102,112
381,Melvin Booker,bookeme01,1995-96,23,HOU,NBA,PG,11,0,131,6.3,19.7,.320,1.2,7.5,.158,5.1,12.2,.419,3.5,4.3,.818,0.4,3.1,3.5,8.3,2.0,0.4,4.7,7.1,17.3,,84,110
382,Trevor Booker,booketr01,2010-11,23,WAS,NBA,PF,65,14,1063,6.7,12.2,.549,0.0,0.0,.000,6.7,12.1,.552,3.3,4.9,.673,4.7,7.4,12.1,1.7,1.4,2.0,1.8,5.5,16.7,,118,109
383,Josh Boone,boonejo01,2006-07,22,NJN,NBA,PF,61,0,669,7.8,13.4,.579,0.0,0.0,,7.8,13.4,.579,4.4,8.1,.544,5.0,8.8,13.8,0.8,0.9,1.6,2.6,7.4,19.9,,111,105
384,Ron Boone,boonero01,1973-74,27,UTS,ABA,SG,84,,3098,9.2,18.6,.494,0.1,0.4,.231,9.1,18.2,.500,4.7,5.4,.875,2.5,4.4,6.8,6.5,1.9,0.3,5.0,4.5,23.2,,104,107
385,Calvin Booth,boothca01,1999-00,23,WAS,NBA,C,11,0,143,5.8,16.7,.348,0.0,0.0,,5.8,16.7,.348,3.6,5.1,.714,5.4,6.2,11.6,2.5,1.1,5.1,2.2,8.3,15.2,,94,104
386,Keith Booth,boothke01,1997-98,23,CHI,NBA,SF,6,0,17,6.3,19.0,.333,0.0,3.2,.000,6.3,15.9,.400,19.0,19.0,1.000,6.3,6.3,12.7,3.2,0.0,0.0,9.5,9.5,31.7,,102,105
388,Carlos Boozer,boozeca01,2002-03,21,CLE,NBA,PF,81,54,2049,8.3,15.4,.536,0.0,0.0,.000,8.3,15.4,.536,3.7,4.8,.771,5.0,10.1,15.2,2.6,1.5,1.2,2.6,5.6,20.2,,114,105
389,Curtis Borchardt,borchcu01,2003-04,23,UTA,NBA,C,16,0,258,4.7,12.0,.393,0.0,0.2,.000,4.7,11.8,.400,3.0,3.9,.778,2.8,8.8,11.6,3.2,0.9,3.0,3.9,8.6,12.5,,88,102
391,Lazaro Borrell,borrela01,1999-00,27,SEA,NBA,SF,17,6,167,8.6,19.4,.444,0.0,0.9,.000,8.6,18.5,.467,1.8,3.4,.545,4.3,8.0,12.3,3.1,1.8,0.9,1.8,2.8,19.1,,100,103
394,Chris Bosh,boshch01,2003-04,19,TOR,NBA,C,75,63,2510,7.2,15.7,.459,0.1,0.3,.357,7.1,15.4,.461,4.5,6.3,.701,4.2,8.1,12.3,1.7,1.3,2.3,2.4,4.7,19.0,,103,99
396,Lawrence Boston,bostola01,1979-80,23,WSB,NBA,PF,13,,125,9.0,19.5,.462,0.0,0.0,,9.0,19.5,.462,3.0,4.9,.615,7.1,7.5,14.6,0.7,1.5,0.7,3.0,9.4,21.0,,100,105
397,Tom Boswell,bosweto01,1975-76,22,BOS,NBA,PF,35,,275,6.7,15.2,.441,,,,6.7,15.2,.441,2.3,3.9,.583,4.2,7.3,11.6,2.6,0.3,0.2,,11.4,15.7,,,98
