,Name,link,Year,blank,blank,League,blank,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
109,Joel Anthony,anthojo01,Career,,,NBA,,490,7056,9.7,.558,.000,.522,9.6,13.0,11.3,2.0,1.0,6.1,19.2,7.8,,5.1,10.2,15.3,.104,,-3.0,3.2,0.1,3.8
110,Pero Antic,anticpe01,Career,,,NBA,,113,1962,10.6,.526,.583,.320,6.9,16.3,11.7,8.3,1.0,1.1,13.4,18.1,,1.1,1.9,3.0,.073,,-0.9,-1.2,-2.1,0.0
111,OG Anunoby,anunoog01,Career,,,NBA,,68,1357,9.6,.575,.563,.180,3.2,9.8,6.6,5.3,1.8,0.6,11.0,12.3,,1.1,1.4,2.5,.089,,0.0,0.3,0.3,0.8
112,Keith Appling,applike01,Career,,,NBA,,5,27,-4.8,.338,.375,.250,0.0,4.2,2.1,5.0,1.9,0.0,25.3,19.5,,-0.1,0.0,-0.1,-0.199,,-10.3,-2.7,-13.0,-0.1
113,Rafael Araujo,araujra01,Career,,,NBA,,139,1585,6.3,.448,.010,.291,9.0,20.7,14.7,3.9,1.7,0.8,20.4,15.7,,-1.7,1.3,-0.4,-0.013,,-5.7,-0.7,-6.4,-1.8
115,Robert Archibald,archiro01,Career,,,NBA,,44,328,4.9,.342,.000,.925,9.4,14.7,12.0,7.5,2.4,1.3,18.6,13.1,,-0.5,0.4,0.0,-0.004,,-6.4,1.4,-5.0,-0.2
116,Tiny Archibald,architi01,Career,,,NBA,,876,31159,18.0,.543,.007,.456,1.7,5.1,3.4,30.1,1.6,0.2,20.2,18.0,,65.4,18.0,83.4,.128,,1.9,-2.2,-0.2,9.5
117,Ryan Arcidiacono,arcidry01,Career,,,NBA,,19,185,8.5,.606,.826,.174,0.0,6.0,2.9,14.6,2.4,0.0,16.8,7.0,,0.2,0.1,0.3,.075,,-2.4,-1.1,-3.5,-0.1
118,Jim Ard,ardji01,Career,,,TOT,,431,5766,10.6,.447,.009,.324,9.8,21.4,15.7,6.4,0.9,2.0,19.3,18.3,,-2.0,6.0,4.0,.034,,-4.8,0.5,-4.4,-1.9
119,Gilbert Arenas,arenagi01,Career,,,NBA,,552,19351,19.6,.547,.348,.405,2.5,10.2,6.3,26.8,2.4,0.5,14.3,27.7,,38.3,13.0,51.3,.127,,4.3,-1.4,2.9,24.1
120,Trevor Ariza,arizatr01,Career,,,NBA,,939,27718,13.5,.534,.442,.245,4.0,14.7,9.3,10.9,2.6,0.8,12.1,17.0,,22.1,35.4,57.4,.099,,0.3,1.3,1.6,25.4
122,Joe Arlauckas,arlaujo01,Career,,,NBA,,9,85,7.9,.365,.000,.186,7.6,9.0,8.3,13.3,1.7,2.6,7.9,24.0,,-0.1,0.1,-0.1,-0.045,,-4.9,-1.6,-6.5,-0.1
123,B.J. Armstrong,armstbj01,Career,,,NBA,,747,17790,14.5,.555,.172,.231,1.3,7.4,4.3,20.9,1.5,0.2,11.9,18.4,,31.7,13.4,45.0,.121,,0.4,-2.0,-1.6,1.9
125,Brandon Armstrong,armstbr01,Career,,,NBA,,108,699,4.9,.404,.261,.070,3.6,6.8,5.2,5.8,1.7,0.4,11.1,22.0,,-1.4,0.8,-0.6,-0.039,,-5.9,-2.7,-8.6,-1.2
127,Darrell Armstrong,armstda01,Career,,,NBA,,840,19915,16.3,.532,.425,.258,3.7,9.3,6.5,28.2,3.0,0.4,17.7,19.7,,27.4,22.4,49.8,.120,,2.3,-0.2,2.1,20.8
128,Hilton Armstrong,armsthi01,Career,,,NBA,,292,3378,9.9,.529,.010,.456,10.0,16.6,13.2,4.5,1.4,3.3,21.7,14.6,,-0.4,4.3,3.9,.055,,-4.2,1.4,-2.8,-0.7
132,Bob Arnzen,arnzebo01,Career,,,TOT,,111,952,13.6,.499,.012,.182,7.7,7.7,10.4,5.0,0.9,0.7,10.0,17.1,,0.7,0.7,1.4,.073,,-2.4,-1.8,-4.2,-0.1
133,Carlos Arroyo,arroyca01,Career,,,NBA,,569,10651,13.4,.511,.124,.292,2.4,8.4,5.4,28.0,1.5,0.2,15.6,19.1,,11.4,8.7,20.1,.091,,-0.6,-1.8,-2.4,-1.1
